Turma,Aluno,Nota_Matemática
1ºB,Daniela Lima,6.0
1ºB,Carlos Lima,2.6
1ºB,Lucas Ferreira,9.4
1ºB,Nicolas Lima,5.6
1ºB,Helena Henrique,6.2
1ºB,Juliana Dias,6.6
1ºB,Thiago Teixeira,5.1
1ºB,Juliana Moreira,5.6
1ºB,Thiago Barbosa,6.0
1ºB,Vitória Dias,6.6
1ºB,Fernanda Teixeira,8.3
1ºB,Paulo Almeida,2.2
1ºB,Mariana Pereira,3.8
1ºB,Juliana Oliveira,6.2
1ºB,Mariana Ramos,9.0
1ºB,Bruno Barbosa,6.8
1ºB,Sofia Jesus,2.3
1ºB,Gabriel Dias,6.0
1ºB,Fernanda Barbosa,9.3
1ºB,Igor Silva,7.5
1ºB,Mariana Silva,8.9
1ºB,Vitória Silva,5.5
1ºB,Carlos Igreja,2.0
1ºB,Gabriel Queiroz,7.8
1ºB,Thiago Ferreira,7.2
1ºB,Mariana Almeida,6.7
1ºB,Rafael Igreja,8.3
1ºB,Rafael Ferreira,8.3
1ºB,Nicolas Nascimento,8.1
1ºB,Carlos Gomes,6.5
1ºB,Juliana Oliveira,3.4
1ºB,Thiago Vieira,5.8
1ºB,Igor Almeida,3.4
1ºB,Sofia Nascimento,5.0
1ºB,Nicolas Moreira,8.3
1ºB,Olívia Teixeira,7.1
1ºB,Gabriel Cardoso,4.9
1ºB,Quésia Cardoso,9.1
1ºB,Eduardo Lima,3.6
