Turma,Aluno,Nota_Matemática
2ºA,Gabriel Igreja,7.5
2ºA,Thiago Cardoso,3.6
2ºA,Eduardo Henrique,6.9
2ºA,Bruno Gomes,4.5
2ºA,Fernanda Henrique,4.8
2ºA,Paulo Moreira,4.3
2ºA,Quésia Vieira,8.8
2ºA,Carlos Nascimento,7.5
2ºA,Fernanda Queiroz,5.3
2ºA,Rafael Igreja,6.0
2ºA,Fernanda Cardoso,6.8
2ºA,Thiago Lima,7.5
2ºA,Lucas Esteves,10.0
2ºA,Thiago Pereira,6.6
2ºA,Helena Vieira,3.1
2ºA,Ana Teixeira,8.6
2ºA,Juliana Henrique,7.0
2ºA,Lucas Barbosa,5.2
2ºA,Quésia Ferreira,2.5
2ºA,Nicolas Igreja,8.5
2ºA,Paulo Nascimento,6.6
2ºA,Gabriel Silva,5.1
2ºA,Vitória Igreja,4.2
2ºA,Quésia Esteves,5.7
2ºA,Daniela Moreira,3.9
2ºA,Quésia Cardoso,7.0
2ºA,Paulo Igreja,7.2
2ºA,Thiago Igreja,3.9
2ºA,Gabriel Barbosa,5.4
2ºA,Olívia Nascimento,8.8
2ºA,Paulo Vieira,4.1
2ºA,Eduardo Teixeira,5.1
